City,report_year,Education spending,Inter_Gov_Rev,Enrollment
CHESTER,2015,8769969.0,1379955.0,458.8
CLINTON,2015,34191891.0,10931383.0,1957.04
COLCHESTER,2015,43909369.0,19483781.0,2766.93
COLEBROOK,2015,3931647.0,1026933.0,199.91
COLUMBIA,2015,12592285.0,5107112.0,701.12
CORNWALL,2015,4227939.0,606972.0,133.1
COVENTRY,2015,29541973.0,12421409.0,1777.4
CROMWELL,2015,30610852.0,8336950.0,2099.62
DANBURY,2015,141957467.0,48767079.0,10686.85
DARIEN,2015,99103639.0,13420590.0,4917.96
DEEP RIVER,2015,11549813.0,2819743.0,637.6
DERBY,2015,22108184.0,14130654.0,1587.76
DURHAM,2015,22854758.0,4577582.0,1211.41
EAST GRANBY,2015,15013695.0,2977079.0,923.0100000000001
EAST HADDAM,2015,20920432.0,6731006.0,1179.56
EAST HAMPTON,2015,31336281.0,11634584.0,1942.04
EAST HARTFORD,2015,103700000.0,64424000.0,8160.66
EAST HAVEN,2015,50447708.0,25756092.0,3375.94
EAST LYME,2015,49709355.0,14231113.0,2648.39
EAST WINDSOR,2015,23299723.0,8983491.0,1257.37
EASTFORD,2015,3946713.0,1747378.0,189.21
EASTON,2015,27724507.0,2912452.0,1417.46
ELLINGTON,2015,39195495.0,15563229.0,2750.38
ENFIELD,2015,73482000.0,44638000.0,5555.28
ESSEX,2015,16395031.0,1559154.0,879.7999999999998
FAIRFIELD,2015,171906000.0,25464000.0,10255.04
FARMINGTON,2015,63453677.0,12526132.0,4027.55
FRANKLIN,2015,4375142.0,1761506.0,253.21
GLASTONBURY,2015,107377221.0,18421311.0,6313.02
GOSHEN,2015,7253218.0,332235.0,352.89
GRANBY,2015,30716490.0,9553843.0,1948.03
GREENWICH,2015,164233253.0,32596244.0,8674.36
GRISWOLD,2015,27669568.0,13849501.0,1776.24
GROTON,2015,81862680.0,43397238.0,4956.59
GROTON (City of),2015,0.0,410820.0,
GUILFORD,2015,63185233.0,10392959.0,3454.42
HADDAM,2015,22376890.0,2062061.0,1296.7
HAMDEN,2015,84858213.0,37141207.0,6529.18
HAMPTON,2015,4095928.0,1926316.0,183.02
HARTFORD,2015,326647000.0,289332000.0,21596.84
HARTLAND,2015,5167038.0,2106326.0,272.99
HARWINTON,2015,12639441.0,3214735.0,852.97
HEBRON,2015,28797677.0,9032190.0,1771.59
KENT,2015,7188717.0,1119596.0,298.15
KILLINGLY,2015,44202229.0,22516265.0,2326.71
KILLINGWORTH,2015,15957890.0,2757662.0,911.71
LEBANON,2015,19618104.0,7844678.0,1077.02
LEDYARD,2015,34539230.0,19897568.0,2459.15
LISBON,2015,10201601.0,4945024.0,594.23
LITCHFIELD,2015,19117000.0,3426000.0,1001.61
LYME,2015,6556450.0,427660.0,294.87
