City,report_year,FTE Count,has_nulls,Education spending,Inter_Gov_Rev,Enrollment
EASTFORD,2008,31.200000000000006,True,3519454.0,1500622.0,268.55
EASTFORD,2009,33.3,True,3829616.0,1558486.0,266.69
EASTFORD,2010,34.3,True,3745816.0,1630796.0,236.52
EASTFORD,2011,34.40000000000001,True,3819029.0,1557126.0,245.93
EASTFORD,2012,37.5,True,3756017.0,1655934.0,233.92
EASTFORD,2013,35.2,True,3864869.0,1614493.0,217.5
EASTFORD,2014,36.8,True,3854354.0,1691351.0,203.74
EASTFORD,2015,36.2,True,3946713.0,1747378.0,189.21
EASTFORD,2016,35.4,True,3987911.0,1717920.0,178.5
EASTON,2007,364.3,False,21625026.0,1807967.0,1567.88
EASTON,2008,789.1000000000001,False,27632800.0,6195139.0,1602.42
EASTON,2009,394.0,False,24900625.0,2126327.0,1590.04
EASTON,2010,391.1,False,25004081.0,2035401.0,1555.96
EASTON,2011,382.8,False,25665283.0,2233793.0,1553.24
EASTON,2012,522.7,False,26784954.0,2366020.0,1509.12
EASTON,2013,368.69999999999993,False,27263689.0,2596232.0,1478.84
EASTON,2014,382.1,False,27304586.0,3036785.0,1448.78
EASTON,2015,365.6,False,27724507.0,2912452.0,1417.46
EASTON,2016,362.7,True,29448104.0,2808762.0,1393.9
ELLINGTON,2007,374.9,False,27133354.0,11333020.0,2562.39
ELLINGTON,2008,379.4,False,37596600.0,21870263.0,2628.11
ELLINGTON,2009,385.7000000000001,False,30967610.0,13582654.0,2661.79
ELLINGTON,2010,381.8,False,31017970.0,13520745.0,2669.99
ELLINGTON,2011,387.6,False,32365108.0,13593091.0,2732.43
ELLINGTON,2012,404.90000000000015,False,33773953.0,14663268.0,2766.34
ELLINGTON,2013,413.2,False,35342309.0,14706362.0,2788.55
ELLINGTON,2014,415.0,False,37658420.0,15675412.0,2765.82
ELLINGTON,2015,425.9,False,39195495.0,15563229.0,2750.38
ELLINGTON,2016,422.2,False,39371523.0,15048775.0,2732.71
ENFIELD,2007,953.2,False,72357000.0,36650000.0,6584.14
ENFIELD,2008,964.7,False,97560000.0,62303000.0,6437.02
ENFIELD,2009,926.3999999999997,False,73847000.0,37644000.0,6398.82
